,posemo,negemo,anx,anger,sad
GRE09,4.37,2.45,0,0,0.7
POF03,2.18,1.01,0,0,0.17
AMU07,3.23,3.43,2.62,0,0.6
BFC03,3.45,1.48,0,0.66,0.49
BRE10,4.02,0.67,0.5,0,0
BRE04,2.11,0.58,0,0,0.38
UPS09,5.24,1.36,0.19,0.39,0
BRE05,3.15,1.58,0.29,0.43,0.57
UPS08,5.38,0.74,0,0.19,0.37
BRE11,6,1.39,0,0.46,0
BFC02,3.79,1.2,0.1,0.1,0.6
AMU06,4.55,1.52,0.38,0.38,0.19
POF02,4.5,1.35,0.45,0,0.45
GRE08,4.14,3.06,0.18,0.54,1.44
CFE01,2.71,0.68,0,0.34,0.17
CFE03,3.55,1.31,0.56,0,0.75
NOR09,4.47,4.3,1.37,0.17,0.86
AMU04,6.52,4.15,0.2,0.4,0.59
OCM20,5.39,1.72,0,0,0.65
AMU10,3.25,0.57,0.19,0,0
OCM08,2.77,1.62,0.46,0.46,0.23
BRE07,2.74,1.75,0.75,0.25,0.5
BRE13,1.59,1.43,0.48,0,0.64
BRE12,5.3,1.2,0.48,0.24,0.24
BRE06,2.34,1.95,0.39,0.98,0.2
BFC01,5.08,1.32,0.11,0.33,0.22
OCM09,5.53,2.05,0.41,0.82,0.61
AMU11,6.16,2.51,0,0.46,0.91
AMU05,2.51,1.04,0,0.21,0.63
POF01,3.95,0.22,0,0,0
NOR08,4.77,1.59,0,0,0.68
CFE02,4.95,1.04,0,0.26,0.52
POF05,2.54,0.42,0,0.21,0.42
CFE06,3.33,1.55,0.22,0.89,0
OCM19,2.58,2.4,0.55,0.74,0.55
AMU01,3.06,2.18,0,0.22,1.31
BFC05,3.41,0.55,0.14,0.14,0.14
BRE02,4.25,0.77,0.39,0,0
BRE16,4.03,1.05,0,0.35,0.53
BRE03,3.58,0.47,0.16,0,0.16
BFC04,2.77,0.53,0.13,0,0.13
BFC10,3.49,1.12,0.14,0.28,0.28
OCM18,1.89,1.32,0.19,0.38,0.38
CFE07,4.74,0.55,0,0.18,0.36
POF04,3.39,0.36,0.18,0,0.18
CFE05,2.86,1.14,0.19,0.38,0.19
CFE11,4.32,1.38,0.39,0.2,0.39
AMU02,2.49,2.72,0.45,0.45,0.68
BFC06,5.35,1,0.5,0,0.25
BRE15,4.75,0.7,0,0.18,0
BRE01,2.12,1.41,0,0.71,0.18
BRE14,1.2,1.2,0.4,0.6,0.4
BFC07,2.89,1.22,0.3,0.46,0.3
AMU03,2.58,0.8,0.4,0,0
CFE10,4.04,1.43,0,0,0.71
CFE04,1.39,2.61,0,0.17,1.74
HES05,3.39,0.85,0,0,0
LDV01,4.08,0.76,0.64,0.13,0
