,posemo,negemo,anx,anger,sad
274219,1.67,6.28,0.42,2.51,0.42
111363,4.47,2.79,0,1.68,0.56
243338,3,5.36,0.21,1.07,1.07
284673,2.42,3.81,0,1.73,0.69
93116,4.44,4.44,0,1.48,0
87163,2.88,1.77,0,0.22,0
221740,3.66,2.62,0,2.09,0
194625,5.59,1.75,0,0,0.35
70299,4.64,0.52,0,0,0.52
207977,7.83,0,0,0,0
56276,1.72,4.48,0,2.41,0
10223,1.06,1.06,0.35,0,0
301321,3.75,4.69,0,1.56,0
109909,7.19,1.8,0,0,0
210238,3.23,4.19,0,0.97,0
33439,4.29,1.9,0,0,0
93843,4.55,0.41,0,0,0
69870,6.17,2.47,0,0.62,0
46663,2.39,4.31,0,2.87,0
226601,3.57,1.19,0,0,0.79
18938,3.27,2.18,0.44,0.22,0
202990,3.49,1.9,0.32,0,0
186631,4.9,1.31,0,0,0
16530,4.62,1.03,0,0,0
224599,3.01,1.13,0,0,0
247764,4.82,0.8,0,0,0
61035,3.23,1.29,0,0,0
229903,1.16,1.16,0,0,0
110690,5.49,1.69,0,0.42,0
38154,0.63,0.63,0,0,0
271598,3.61,2.76,0,0.21,1.7
118583,6.94,3.24,0.46,0.46,0
176266,4.35,3.8,0,0,0.54
222116,4.15,3.11,0,2.07,0.52
94532,2.1,6.99,2.1,2.1,0
274185,3.72,2.33,0,1.86,0
229296,4.52,3.55,0.32,1.29,0
206507,4.66,1.27,0,0,0.42
121128,2.54,0.51,0,0,0
291121,4.14,2.63,0.38,0.75,0
112509,8.04,0,0,0,0
65939,2.39,1.49,0,0,0.3
221153,2.75,0,0,0,0
280951,4.3,1.19,0,0.24,0.24
301320,3.64,6.29,2.65,2.98,0
120342,4.71,1.18,0,0,0
270254,5.64,3.26,0.3,0,0.3
183364,5.82,1.71,0,0,0.68
92221,3.88,1.29,0.43,0,0
40367,3.68,1.95,0.22,0.22,0
30858,3.1,1.38,0,0.34,0.34
76819,3.05,0.61,0,0,0
35934,5.45,0.47,0,0,0
83310,3.35,1.12,0,0,0.74
88245,3.41,1.46,0,0.49,0.49
202826,5,2.5,0,0.36,0.36
84133,4.64,3.31,0,1.32,0.33
43444,5,1.25,0,0.63,0
81707,5.97,1.7,0,0,0.28
273207,5.78,0.58,0,0,0
12812,9.68,1.29,0,0,0
37462,7.91,0,0,0,0
27881,4.61,0,0,0,0
137827,3.63,4.66,0,0,1.55
200941,6.57,1.38,0,0.35,0.35
222510,5.37,4.7,1.34,0.67,0
80627,5.85,4.39,0,3.41,0
215343,7.72,2.37,0,0.3,0
273171,2.66,2.33,0,0.33,0.33
28191,1.95,3.91,0,2.73,0
270444,3.77,3.02,0.38,0.75,0.38
226602,6.38,1.28,0,0.43,0
191616,2.54,5.4,1.43,1.75,0.48
208299,5.51,2.54,0.42,0,0
21638,3.09,3.09,0,2.58,0
96694,5.58,4.78,0,0.4,0.4
10397,1.59,1.91,0,0.64,0
116221,5.12,1.86,0,0.93,0
105507,7.91,1.58,0.4,0,0.4
88119,1.18,1.76,0,0.59,0.59
206049,3.3,2.75,1.1,0.55,0
47797,7.62,4.76,0,3.33,0
49962,4.87,1.62,0.32,0,0.32
60328,3.37,0.48,0,0,0
106973,6.23,2.2,0,0.37,0.37
34989,1.91,2.15,0,0.48,0.24
219627,4.56,0.3,0,0,0
79644,1.8,2.99,0,0,0.6
108793,5.08,3.11,0,0,0
299754,5.49,1.73,0,0,0
158832,1.98,0,0,0,0
97992,4.79,5.48,0,2.05,0
94525,8.81,1.55,0,1.04,0.52
48300,6.9,0.49,0,0,0
95388,6.41,1.28,0,0,0
91844,4.46,0.89,0,0,0
121117,4.64,0,0,0,0
89951,4.71,2.09,0.26,0.26,0.52
96642,5.18,1.04,0,0,0
224772,1.86,2.17,0,0.31,0.31
264418,2.75,5.05,0.69,0.69,0.23
275267,1.47,2.57,0,0,0
245207,6.02,1.93,0,0.48,0
25271,3.17,2.78,0.4,0,0
81538,4.35,5.22,0.87,0,1.74
57618,3.66,6.59,0.73,1.83,0.73
122581,6.83,1.2,0,0.4,0
87161,5.09,2.4,0.6,0.3,0
92578,3.1,3.41,0.31,1.24,0
27880,4.05,1.35,0,0,0
24351,6.82,0.45,0,0,0
