,label
100178.0,0
100232.0,1
100367.0,1
100446.0,1
100483.0,1
100498.0,1
100499.0,1
100961.0,1
10124.0,0
101513.0,0
101635.0,1
101708.0,1
10177.0,0
101787.0,0
101851.0,1
101880.0,1
102168.0,1
102184.0,1
10219.0,1
102213.0,1
10223.0,1
102389.0,0
102408.0,1
102424.0,1
102534.0,0
102858.0,1
10291.0,1
103114.0,0
103311.0,1
10397.0,1
104739.0,1
104741.0,1
105507.0,1
105537.0,1
105553.0,0
105906.0,0
105963.0,0
106037.0,1
106077.0,0
106514.0,1
106941.0,1
106973.0,0
107014.0,1
107182.0,0
107456.0,0
107551.0,0
107585.0,0
108146.0,0
108793.0,1
109524.0,1
109909.0,1
110003.0,1
110203.0,1
110543.0,0
110565.0,0
110690.0,1
110754.0,1
110766.0,1
110788.0,1
110794.0,1
110824.0,1
110929.0,0
110983.0,1
111104.0,1
111363.0,1
111734.0,1
111881.0,0
112029.0,0
112148.0,1
112169.0,0
112172.0,0
112223.0,1
112425.0,1
112433.0,1
112509.0,1
112604.0,0
112631.0,1
112674.0,1
112903.0,0
113162.0,1
113265.0,1
113369.0,1
113491.0,1
114006.0,1
114016.0,1
114419.0,1
114624.0,1
114845.0,1
115134.0,1
116202.0,0
116213.0,0
116219.0,0
116221.0,0
116461.0,0
116481.0,1
11650.0,0
118354.0,1
118371.0,0
118573.0,0
118583.0,1
118639.0,1
119348.0,1
119351.0,0
119397.0,1
120342.0,1
120363.0,1
121117.0,0
121128.0,0
121358.0,1
121400.0,1
121427.0,0
121584.0,1
121759.0,0
121763.0,1
122439.0,0
122581.0,0
122602.0,0
122842.0,0
123986.0,1
124190.0,0
125344.0,1
125657.0,1
125676.0,1
125708.0,1
125726.0,1
125730.0,1
125845.0,0
125868.0,1
125895.0,1
126505.0,0
126542.0,1
126831.0,1
126872.0,1
126944.0,0
127470.0,0
127490.0,1
127539.0,1
127622.0,0
127908.0,0
128059.0,1
12812.0,0
128258.0,0
128600.0,0
128752.0,0
128763.0,1
128949.0,1
129728.0,1
129733.0,1
130149.0,1
130366.0,0
130426.0,1
130448.0,1
130456.0,1
130633.0,0
131650.0,0
131871.0,1
131936.0,1
132028.0,1
132476.0,1
132570.0,0
133201.0,1
133888.0,1
134252.0,0
134298.0,0
135623.0,1
135658.0,1
136196.0,0
136205.0,1
136211.0,1
136215.0,1
136234.0,0
136255.0,1
136369.0,0
136416.0,1
136647.0,1
137455.0,0
137827.0,1
137920.0,1
139006.0,0
139032.0,1
140293.0,1
140315.0,1
140317.0,1
15138.0,1
154449.0,0
15837.0,1
159588.0,1
159605.0,1
16145.0,0
16146.0,1
16530.0,1
167521.0,0
16980.0,0
172044.0,1
172048.0,1
172050.0,1
172060.0,1
17622.0,0
176266.0,1
17769.0,0
178163.0,1
17874.0,1
179797.0,0
179873.0,0
179875.0,0
180865.0,0
180923.0,0
180971.0,0
181504.0,0
181978.0,1
18279.0,1
183364.0,0
183895.0,1
184784.0,1
18588.0,1
186631.0,1
186643.0,0
187033.0,0
187566.0,1
187775.0,0
188004.0,1
188062.0,1
188122.0,1
188123.0,0
188343.0,1
188815.0,1
188825.0,0
189296.0,1
18938.0,0
189966.0,0
190599.0,1
190726.0,1
190740.0,0
190743.0,1
191616.0,0
191941.0,0
192798.0,1
192799.0,1
192978.0,0
193093.0,0
193291.0,1
193322.0,1
193514.0,1
193894.0,1
193921.0,0
193924.0,1
194106.0,1
194299.0,1
194625.0,0
195333.0,0
195575.0,0
19573.0,1
19664.0,1
196665.0,0
197232.0,1
197778.0,0
198112.0,1
19850.0,1
19915.0,0
199215.0,0
199227.0,0
200941.0,1
201005.0,1
201497.0,1
201582.0,0
201980.0,0
202431.0,0
202810.0,1
202826.0,1
202990.0,1
203466.0,0
203806.0,1
204085.0,0
204378.0,1
204451.0,1
204519.0,0
204792.0,0
205268.0,1
205499.0,1
205896.0,1
