,label
100178.0,0
100232.0,0
100367.0,1
100446.0,0
100483.0,1
100498.0,1
100499.0,0
100961.0,1
10124.0,1
101513.0,0
101635.0,1
101708.0,1
10177.0,1
101787.0,1
101851.0,1
101880.0,0
102168.0,1
102184.0,0
10219.0,1
102213.0,1
10223.0,1
102389.0,0
102408.0,1
102424.0,1
102534.0,1
102858.0,0
10291.0,1
103114.0,0
103311.0,0
10397.0,1
104739.0,0
104741.0,1
105507.0,0
105537.0,1
105553.0,1
105906.0,0
105963.0,1
106037.0,1
106077.0,0
106514.0,0
106941.0,1
106973.0,0
107014.0,0
107182.0,0
107456.0,0
107551.0,0
107585.0,1
108146.0,0
108793.0,0
109524.0,1
109909.0,1
110003.0,1
110203.0,1
110543.0,0
110565.0,0
110690.0,1
110754.0,0
110766.0,0
110788.0,1
110794.0,0
110824.0,1
110929.0,0
110983.0,1
111104.0,0
111363.0,1
111734.0,1
111881.0,0
112029.0,0
112148.0,0
112169.0,0
112172.0,0
112223.0,1
112425.0,1
112433.0,1
112509.0,1
112604.0,0
112631.0,0
112674.0,1
112903.0,0
113162.0,1
113265.0,0
113369.0,1
113491.0,1
114006.0,0
114016.0,0
114419.0,0
114624.0,0
114845.0,0
115134.0,1
116202.0,0
116213.0,0
116219.0,0
116221.0,0
116461.0,1
116481.0,1
11650.0,0
118354.0,0
118371.0,0
118573.0,1
118583.0,1
118639.0,0
119348.0,1
119351.0,0
119397.0,0
120342.0,0
120363.0,0
121117.0,0
121128.0,1
121358.0,1
121400.0,0
121427.0,0
121584.0,0
121759.0,0
121763.0,1
122439.0,1
122581.0,1
122602.0,0
122842.0,0
123986.0,0
124190.0,1
125344.0,0
125657.0,1
125676.0,1
125708.0,1
125726.0,1
125730.0,1
125845.0,1
125868.0,1
125895.0,0
126505.0,0
126542.0,1
126831.0,0
126872.0,0
126944.0,0
127470.0,1
127490.0,1
127539.0,1
127622.0,0
127908.0,1
128059.0,0
12812.0,1
128258.0,1
128600.0,0
128752.0,1
128763.0,1
128949.0,0
129728.0,1
129733.0,1
130149.0,0
130366.0,1
130426.0,1
130448.0,1
130456.0,0
130633.0,1
131650.0,0
131871.0,1
131936.0,1
132028.0,1
132476.0,0
132570.0,1
133201.0,1
133888.0,0
134252.0,1
134298.0,0
135623.0,1
135658.0,1
136196.0,1
136205.0,1
136211.0,0
136215.0,0
136234.0,0
136255.0,1
136369.0,1
136416.0,1
136647.0,1
137455.0,1
137827.0,1
137920.0,1
139006.0,1
139032.0,0
140293.0,0
140315.0,0
140317.0,1
15138.0,1
154449.0,1
15837.0,0
159588.0,1
159605.0,0
16145.0,1
16146.0,0
16530.0,1
167521.0,0
16980.0,0
172044.0,1
172048.0,1
172050.0,1
172060.0,1
17622.0,0
176266.0,1
17769.0,1
178163.0,1
17874.0,1
179797.0,0
179873.0,1
179875.0,1
180865.0,1
180923.0,0
180971.0,0
181504.0,1
181978.0,1
18279.0,1
183364.0,1
183895.0,1
184784.0,1
18588.0,1
186631.0,0
