,linking_rate,synonyms_rate,emb_axis_9,emb_axis_11,emb_axis_13,emb_axis_14,emb_axis_15,emb_axis_22,emb_axis_24,emb_axis_29,emb_axis_39,emb_axis_41,emb_axis_54,emb_axis_55,emb_axis_65,emb_axis_70,emb_axis_87,emb_axis_88,emb_axis_94
100178,0.2142857142857142,0.0,0.26307595,0.18257914,-0.18459517,-0.5228392,0.6503345,-0.12423935,0.49102604,0.29042134,-0.48267055,-0.1760455,-0.1668701,-0.45927405,-0.6643463,-0.15157776,0.89466244,0.53694355,0.5421393
100367,0.3,0.0,-1.7254734,-0.015796965,-0.07443871,-0.7685349,0.60065216,1.5227257,0.25487155,-0.35417682,-1.1148278,0.42515662,0.2754228,0.19041508,0.29569325,-0.5676908,0.060760908,0.14754231,-0.02617176
100961,0.2857142857142857,0.0,-0.99895436,0.13210216,0.0005120968,-0.64089316,0.21105947,0.6404584,-0.3206582,0.1918783,-0.35955852,-0.38805348,0.40824896,0.8749852,0.15911794,-0.38662764,0.54572904,0.545145,-0.66569304
101708,0.2727272727272727,0.0008680555555555,-1.3244902,-0.19293082,-0.12994286,-0.60073096,0.43574727,0.07886503,-0.10276555,0.19379222,-1.2891845,-0.4729344,-0.007588441,0.19637267,-0.08880101,-0.06215849,0.0652519,1.5461836,-0.11834966
101851,0.1904761904761904,0.0012311480455524,0.48661485,-0.042521264,0.12209015,-0.24207266,0.25262415,0.16587225,-0.022656487,-0.07045478,-0.3568356,-0.121767245,-0.33816,0.21139607,0.0423496,-0.112484224,0.516331,0.58276415,0.064902924
102184,0.1578947368421052,0.0008,-0.29953796,0.18391298,-0.11199606,-0.6084719,-0.31673202,-0.2074077,-0.31144074,-0.23544551,-0.67350334,-0.48323584,0.8976889,-0.45782396,-0.7209896,0.22894533,-0.3592294,1.5385326,0.1912837
105553,0.1538461538461538,0.0,-1.8807136,-0.71461874,-0.2098207,0.8062436,0.7150395,0.6045179,-0.52127635,0.36258018,-0.37571013,-0.565322,0.33574206,-0.9264996,0.78448707,-1.4018114,0.05493108,1.5424162,0.27844787
105906,0.375,0.0010330578512396,-0.5461817,-0.3715643,-0.5685073,-0.53667986,0.3512121,0.5819336,0.20446235,-0.61261505,-1.691405,-0.43366358,1.10132,-1.0249195,-0.19534113,-0.57045597,1.1868304,1.5498713,0.45205075
106077,0.25,0.003858024691358,-0.7887482,-0.30404052,-0.3034816,-0.3129437,0.629883,0.18826698,-0.85440385,-0.76988035,-0.9887457,-0.022115696,0.87041074,-0.3647509,-0.12102384,-0.2743217,0.6871651,-0.003203392,0.57427514
107182,0.2222222222222222,0.0,0.25422052,-0.20990908,-0.4937225,-0.05849516,0.18696642,0.5798398,0.046069354,0.33537313,-0.99236155,-0.51860154,-0.1770374,-0.97975016,-0.09507645,-0.8457447,0.5359108,0.31571972,-0.36037642
107551,0.1578947368421052,0.0009918666931164,-0.65768224,-0.7127977,-0.115139775,-0.35930943,-0.171575,0.37056538,0.109635495,-0.9454466,-0.46882746,-0.26943323,0.45884413,-0.068002656,-0.52007324,-0.14097087,0.48933044,0.7956105,-0.7346648
108146,0.3333333333333333,0.0,-0.31581625,-1.2143502,0.83776015,-0.3337236,0.6774033,0.70733,-0.007834425,-0.63764745,0.1807111,-0.27365378,0.24922301,0.78894037,-0.74590665,-0.72185767,-0.209871,0.041003577,-0.25158122
110565,0.2222222222222222,0.0016326530612244,-0.59644467,-0.76140773,-0.16534361,-0.7465571,-0.18754572,0.68179065,-0.45163217,0.21437967,-0.42985862,0.16104947,0.29842937,-0.5118214,-0.22223309,-0.6483858,0.7972601,0.23994993,-0.34384897
110690,0.2142857142857142,0.0023795359904818,0.16529128,-0.19605544,0.12865953,-0.38830042,0.34240988,0.5623682,0.6823486,0.25033876,-0.6416459,0.209045,0.59178776,1.0217594,-0.22965689,0.27541542,-0.15481706,0.21221092,0.62972724
110824,0.0909090909090909,0.0,-1.0112208,0.068526745,0.0551402,-0.8915066,-0.30466822,-0.19976497,-0.082082,0.35042623,-0.43822116,0.18743224,0.17948177,1.1499046,-0.97412723,-0.9527492,0.5098788,0.7817611,0.09692596
110983,0.4285714285714285,0.0,-0.36599678,-0.75655663,-0.08697329,-0.6897494,-0.3959391,0.98407847,0.10198242,-0.012145421,-1.0860914,-0.7971306,0.08094026,0.9503639,0.18088643,0.0732064,0.8662072,0.042194195,-0.47334653
111363,0.4285714285714285,0.0018365472910927,-0.2222418,-0.29306692,-0.017067866,-0.63858926,-0.23492911,-0.3430028,0.1351804,0.8177564,-1.1886653,0.019875694,0.62394613,-0.50494957,0.11998771,0.2746515,-0.11745916,1.0178984,-0.18024775
111734,0.25,0.0,-0.5252314,-0.1422675,-0.309463,0.07523348,-0.17091393,0.15982111,-0.7936976,-0.39669895,-0.39460367,0.21797623,0.5575747,0.58725315,-0.5486288,0.39868844,0.6052275,0.52634424,0.16866058
112223,0.5,0.005,-1.4899887,-0.61127126,-1.0811471,0.7940764,-1.1595807,0.69609576,0.5037911,-0.13518468,-0.23530473,0.9705703,0.92588323,0.23999032,-0.57374835,-0.54957926,0.9913621,1.0876887,-0.99429065
112509,0.4,0.0,0.46340898,0.009753998,0.71952325,-1.8265548,-0.21565996,0.7159896,-0.07869013,0.45199,0.48973396,-0.49055868,0.026376287,0.091853224,0.089200154,-0.19194865,-0.34965977,0.30379638,0.5891151
112903,0.1428571428571428,0.0,-0.4750145,-0.013050049,-0.07847724,0.07694823,-0.589388,0.41816062,-0.34331596,-0.02781313,0.115659945,0.2532563,0.5305275,-0.6726192,0.29385132,0.43785763,0.15268305,0.61788577,-0.15940443
114419,0.4285714285714285,0.0,-0.70353323,-0.16926366,-0.006559671,-0.31320226,-0.0655765,-0.24795684,-0.1449255,-0.43868855,-0.21902627,-0.40255064,0.962398,0.14457613,-0.64017695,0.57386273,-0.23806466,1.0532885,-0.7945474
116202,0.1818181818181818,0.0,-0.10087356,-0.921897,-1.1543826,-0.039979067,-0.34229255,-0.13857445,-0.085438006,-1.1379626,-1.0178574,-0.39738676,0.9851285,0.2593766,-0.28281975,0.05533561,0.88913476,1.5907203,0.9219007
116213,0.1818181818181818,0.0,-0.26577064,-0.26755285,-0.287657,-1.3624086,0.16346721,-0.5419007,0.35915515,-0.90885645,-0.5944034,-0.14862308,1.0899285,-0.38579187,-0.38741562,-0.27481586,-0.42897084,0.39330336,0.21073589
116219,0.5,0.0008,-0.5905731,-0.79490566,0.11109442,0.1778502,-0.4786191,-0.268357,0.3490874,-0.7264942,-1.1381912,-1.2300885,1.0177671,-0.76566154,0.025414832,-0.8654577,1.1747357,1.7126864,-0.051685847
116221,0.5,0.0,-0.7646173,-0.62733877,0.11928832,-1.3122802,-0.07299324,0.09144295,-0.064806536,-0.21967253,-0.55007833,-0.07180949,0.7178766,0.24923764,-0.03412361,0.09571163,0.5449037,1.2270247,0.47832954
118573,0.25,0.0,0.14629336,-0.03496435,0.4651369,-0.16603668,-0.6906511,0.7047291,-0.1333695,-0.10439711,0.104615554,0.4315178,1.0975751,-0.17638421,-0.5067797,-0.25624856,0.12538682,0.2754434,-0.35424495
121358,0.1363636363636363,0.0,-0.6473332,-0.8536959,0.28841636,0.16444133,-0.29627824,0.35108176,0.0045418725,-0.19143562,-0.44383872,0.49327457,-0.73390526,0.08464664,-0.5449956,0.39068657,0.7455296,0.7500956,-0.021771261
121427,0.6666666666666666,0.0015432098765432,0.22552195,0.24070047,0.7255303,-0.39521787,-0.9911699,0.59978306,-0.030774796,0.037615977,-1.3630346,-0.95802563,0.32066756,-0.4465439,-0.6592004,-0.32577765,0.7992192,0.7152088,-1.4943959
122439,0.25,0.0,0.008299847,-0.28522232,0.09678826,-0.74366915,0.5211383,0.6419381,0.056759957,0.050828084,-1.2513257,-0.23617981,0.5280591,-0.30932546,0.11088868,0.38633692,0.9296884,0.8327775,-0.74004835
123986,0.1428571428571428,0.0,-0.5684894,-0.2705811,-0.6591926,-0.09338853,0.055204343,-0.7084712,-1.2410486,-0.3143009,-1.7033161,-0.26749316,0.33837315,-0.21101528,-0.06727698,-0.21407479,0.0033535005,-0.26138976,0.046601918
125708,0.1111111111111111,0.0,-0.9474378,-0.1116473,-0.82863873,0.13685286,-0.286723,-0.13345593,-0.768442,-0.40330324,-0.5250741,-0.6469254,-0.38849506,0.1974487,0.63079435,-1.3777292,0.9260157,0.060867906,0.6197446
125730,0.1666666666666666,0.0007689350249903,-0.29532173,-0.54452676,0.14585842,-0.34189686,0.1463144,0.33044142,0.16240698,0.4457698,-0.8015167,0.7288877,0.4666753,-0.07657463,-0.19060504,-0.04882842,0.60508513,0.45910212,0.008867832
131871,0.4285714285714285,0.0,-0.23538324,-0.43679544,0.2025734,0.30587155,-0.19887312,-0.34325367,-0.6344523,-0.46619773,0.030525342,-0.50783867,-0.22713782,-0.03518389,-0.79955333,-0.49901485,0.5448732,0.437449,1.0573454
131936,0.2857142857142857,0.0022222222222222,-1.6847132,0.8465376,0.0009386073,-0.6834545,0.51858956,0.72576827,-0.79179525,0.1317293,-0.90236986,1.03833,0.3682332,0.07167971,-0.38184547,-0.98589593,0.60064155,0.52834785,0.29427114
133201,0.2222222222222222,0.0,-0.5463696,-0.7772425,-0.35617968,-0.37104267,-0.03361703,0.30077377,0.47582427,0.08874107,-0.44667065,0.29765207,0.39080316,0.41746667,-0.84706855,-0.58587027,0.1839472,0.5014307,0.37161222
134298,0.1176470588235294,0.0006925207756232,-0.7383749,-0.05868304,0.6592849,-0.11963208,-0.93344635,0.77902997,-0.22346912,0.5043335,-0.023832388,0.14145611,0.12127753,-0.022154313,-0.20744653,-0.2348784,1.0828652,0.06279182,-0.13287675
136416,0.0952380952380952,0.0,-0.6712045,0.034899574,-0.58919734,-0.44623417,0.38317958,-0.37400514,-0.3926565,-0.06088234,-0.44243377,0.5948713,0.34782586,0.17189625,0.17888516,0.32427225,0.27945662,0.12358508,0.21965505
136647,0.1666666666666666,0.0,-1.2575774,-0.6894004,-0.11425518,-0.71526885,-0.2851875,0.1784603,-1.3806322,-0.27226073,-0.988955,-0.9429066,0.377209,-0.55766314,0.32101,-0.7671959,0.09634651,0.46682814,1.334112
139006,0.1142857142857142,0.0004616805170821,0.07718331,-0.16637692,-0.027918376,-0.09212374,-0.0032504788,-0.054288097,-0.23063093,-0.18232921,-0.12368477,-0.20810653,0.31669223,0.042894047,-0.0062357686,0.54012483,0.40174878,0.36732832,-0.007466605
15138,0.1111111111111111,0.0045351473922902,0.13266538,-0.8164188,0.50121665,-0.22559042,-0.6913705,-0.044309817,-0.85662144,0.50744104,-0.67612416,-0.59881055,-0.5261126,0.4715288,0.14951356,-0.44331357,-0.18476759,-0.7146383,1.1506689
167521,0.2727272727272727,0.0,-0.8235915,0.1846049,-0.311164,-0.20208652,-0.009759272,-0.24645302,-0.7717159,-0.10886465,-0.5116991,0.2029236,-0.43676546,-0.3912164,-0.091174796,-0.18351848,0.9302112,0.53826064,0.22451125
172048,0.1538461538461538,0.0,-0.7133398,0.39041576,-0.077172495,-0.14265727,-0.42561415,0.4234424,0.4881733,-0.15531304,-0.7011784,0.32263893,0.5554371,0.15852968,-0.35771784,-0.529836,0.49909052,0.9732926,1.6905715
188122,0.25,0.0018365472910927,-0.40454465,-0.94831556,0.30090505,-0.091558434,0.19456811,0.73086095,-1.1100403,-0.5155815,-0.92708665,-0.30987948,0.045131452,0.38977924,-0.38122684,-0.05958267,0.9373195,0.37581098,0.20730834
188343,0.2307692307692307,0.0,-0.8370222,-0.753813,0.17393585,-0.7498504,-0.5600424,-0.8335746,-0.06519493,-0.16206641,-0.77970076,-0.07102574,0.3046457,-0.61393607,-0.08140536,-0.21925716,0.3792463,0.33503482,-0.4899757
189966,0.1176470588235294,0.0,-0.59090674,0.20971273,0.28607646,0.2571769,-0.24920233,0.055910297,-0.482155,-0.6805842,-0.79117036,-0.11368812,-0.34975705,0.03477082,-0.46470425,0.087842144,0.53246605,0.09103595,0.17073625
190726,0.1578947368421052,0.0032873109796186,-0.8933241,-0.99664474,-0.40220273,0.48943868,-0.26237732,0.73291075,-0.43674737,-0.31852227,-1.230773,-0.8166223,0.3542181,0.02118851,-0.69884324,-0.18577176,0.4450764,0.60397243,-0.33192423
190740,0.2307692307692307,0.0025826446280991,-0.027462607,-0.18517704,-0.08889163,-0.72369176,0.08761996,0.50755596,-0.3937822,0.265135,-0.3292327,-0.27412423,-0.26286516,-0.28444344,-0.30699933,0.27503344,1.3141626,0.7925742,0.008560977
191616,0.0833333333333333,0.0002082465639316,0.20932835,-0.5181896,0.042460706,-0.43693617,0.19340192,0.18302107,-0.24296373,-0.26242954,-0.0011816798,-0.052008405,0.9000257,-0.43216413,-0.21608788,-0.023960385,0.16546135,-0.07277811,0.3310044
