,linking_rate,synonyms_rate,emb_axis_9,emb_axis_11,emb_axis_13,emb_axis_14,emb_axis_15,emb_axis_22,emb_axis_24,emb_axis_29,emb_axis_39,emb_axis_41,emb_axis_54,emb_axis_55,emb_axis_65,emb_axis_70,emb_axis_87,emb_axis_88,emb_axis_94
262226,0.5,0.0020811654526534,0.43007416,-0.29233128,0.25232315,0.6205327,-0.40404412,0.7800029,0.17622964,0.7691958,-0.9257509,0.66641206,-0.523182,-0.62915117,0.061164312,-1.5523037,0.74629164,-0.41794008,-0.5784626
341983,0.2,0.0017846519928613,-0.4591369,-0.62424725,-0.4239838,-0.6724291,-0.5767483,-0.048883144,-0.5034181,-0.3486919,-0.5566266,-0.9650583,0.71490777,-0.43169188,0.107581444,0.4617426,1.3678333,0.70450735,-0.30919778
50103,0.2727272727272727,0.0036523009495982,-0.22476044,-0.77932465,-1.0621903,0.010249228,-0.45839322,0.16763811,0.33929846,-0.31485304,-0.77010185,0.42369446,0.40902466,-0.22180964,0.4094087,-0.5490411,0.34080076,1.2990428,-0.14178213
111734,0.25,0.0,-0.5252314,-0.1422675,-0.309463,0.07523348,-0.17091393,0.15982111,-0.7936976,-0.39669895,-0.39460367,0.21797623,0.5575747,0.58725315,-0.5486288,0.39868844,0.6052275,0.52634424,0.16866058
49264,0.2727272727272727,0.0,-0.75588894,-0.23747626,0.4291168,-0.20394096,0.88738024,0.5972416,-0.41999587,0.050551895,-0.6457906,0.7040247,-0.3488574,0.28085187,0.50573885,-0.95523375,1.0845096,1.0569803,0.52579683
30762,0.1481481481481481,0.0,0.12958999,-0.24354137,-0.04577105,-0.24006346,-0.42442116,0.35039964,-0.017267287,-0.079436496,-0.87953097,-0.45038685,0.26254243,0.14902543,0.19001468,0.09226237,0.7635918,0.12316677,-0.07067557
81615,0.2,0.0,-0.11759432,0.4357976,0.5385998,-0.25425148,0.1651639,0.48260224,-1.4556681,-0.029921418,-0.46263933,-0.1545385,1.3243871,-0.1560647,-0.45835388,-0.37416458,-0.4244521,1.000214,0.018317757
81371,0.2857142857142857,0.0,0.22789285,-0.80355364,-0.21291587,-0.66447765,-0.6743982,0.7172002,0.61344326,0.21054305,-0.31869906,-0.69963664,-0.10751927,0.117193155,-0.15651533,0.06982703,0.4932952,0.6811288,0.01862824
236021,0.1333333333333333,0.0,-0.31889772,-0.08788804,0.105619654,-0.31977603,-0.21966228,0.99843025,-0.2863375,-0.34437945,-0.9814837,-0.38614124,-0.08815091,0.89874005,-1.0979866,-0.2367464,0.6312694,1.985512,-0.07231991
239235,0.1666666666666666,0.0011337868480725,-1.3016608,-0.020954259,-0.6075608,-0.42529324,0.0029657984,-0.44190022,-0.07149754,-0.08352881,-0.98939216,0.37825263,0.19200501,0.5850161,-0.19161582,0.1938712,0.24067408,0.79309756,0.041171577
280584,0.4,0.0016326530612244,-0.42139235,-0.8281724,0.1999,0.9910599,-1.1572881,0.0030006065,0.2966712,0.21154815,-0.3207607,-0.472522,1.0168906,-1.0340793,-0.15046443,0.022418452,0.2120635,0.94710267,-0.37588117
100178,0.2142857142857142,0.0,0.26307595,0.18257914,-0.18459517,-0.5228392,0.6503345,-0.12423935,0.49102604,0.29042134,-0.48267055,-0.1760455,-0.1668701,-0.45927405,-0.6643463,-0.15157776,0.89466244,0.53694355,0.5421393
229090,0.2352941176470588,0.0,0.15154222,0.25260165,0.56594014,-0.11169321,-0.44784173,-0.0745534,0.37951463,-0.4739169,-0.75063956,-0.32373103,0.02582987,0.17514428,-0.78075653,0.16657464,0.64830697,0.80864364,0.13897821
221740,0.2,0.0,-0.43415928,-0.23379065,-1.2083036,-0.45597586,0.07088243,-0.84266806,0.1982614,-0.26295903,-0.29006776,-0.11389408,1.7895617,0.0917026,-0.46762967,-0.4903683,0.07215319,0.6349137,1.1162727
191616,0.0833333333333333,0.0002082465639316,0.20932835,-0.5181896,0.042460706,-0.43693617,0.19340192,0.18302107,-0.24296373,-0.26242954,-0.0011816798,-0.052008405,0.9000257,-0.43216413,-0.21608788,-0.023960385,0.16546135,-0.07277811,0.3310044
86494,0.1818181818181818,0.0,-0.7184693,0.51796216,-1.3383639,0.0028326393,1.1467518,0.28830498,0.8481328,-1.1644396,-1.3975973,0.35702348,0.55796903,-0.16289969,-0.02105846,-0.62031573,0.07727951,-0.096903205,-0.7401307
261326,0.25,0.0104058272632674,0.00910527,-0.05298201,0.7738148,-0.103848755,0.96193635,0.9648206,0.109914616,0.07491004,-0.459454,-1.1734426,0.89131075,-0.55065143,-0.19202267,-1.9862747,0.3514811,1.435409,0.51719695
219605,0.2,0.0021545090797168,-0.8916037,-0.16281095,0.032661837,-0.0697289,-0.38823992,0.38553473,-0.11693954,0.016586691,-0.62635773,-0.6626695,0.24662992,1.0275228,-0.42765522,-0.8418326,0.111911386,0.9601485,0.36844328
261902,0.0952380952380952,0.0,-0.11524622,0.018212229,-0.20099613,-0.55705535,-0.08040598,0.6554186,-0.13638876,-0.10297442,-0.026886765,0.008007212,-0.18251882,-0.17622915,-0.28065836,-0.39151376,0.22873245,0.6639288,-0.041909404
96337,0.1538461538461538,0.0104058272632674,-0.10251784,-0.8641629,-0.21406722,-0.6250621,-0.9567139,0.52690345,0.4469982,-0.9446448,-0.976507,-0.028575132,0.046520893,-0.701782,0.20148928,-0.7040098,1.3154219,0.86191434,0.07286612
65068,0.05,0.0009613843935266,0.06524137,-0.32002237,-0.19570173,-0.41950276,-0.3437316,0.67670393,0.31641117,-0.030576427,-0.47490835,-0.36701024,0.7120248,-0.21070534,-0.7534416,-0.49511924,0.3401137,0.8926968,-0.41290313
121358,0.1363636363636363,0.0,-0.6473332,-0.8536959,0.28841636,0.16444133,-0.29627824,0.35108176,0.0045418725,-0.19143562,-0.44383872,0.49327457,-0.73390526,0.08464664,-0.5449956,0.39068657,0.7455296,0.7500956,-0.021771261
8404,0.1666666666666666,0.0011337868480725,-0.71043307,0.31488365,-0.55673456,-0.17073461,0.33864975,-0.14346887,-0.35502812,-0.6039346,-0.72955996,-0.44792902,0.432882,-0.32640445,-0.059622545,-0.08792671,1.3018819,1.613554,-0.2668867
237363,0.4,0.0062434963579604,0.22978188,-0.17647944,0.23948169,-0.52303827,0.20380966,0.09331253,0.5648773,-0.45134637,-0.3992024,-0.30855182,0.8697917,-0.31002685,-0.108903214,0.15234293,0.4679085,0.3330155,0.21403933
57294,0.2142857142857142,0.0023148148148148,-0.7066577,0.28462088,0.576397,-0.758988,0.05998087,-0.07197779,-0.9213828,-0.115061775,-0.97854483,-0.7624403,0.32725546,0.64784384,0.3968769,0.1538641,0.1726393,1.1035753,0.6650142
84772,0.1538461538461538,0.001953125,-0.6480554,-0.9468801,0.050233632,-0.12771434,0.16041966,-0.17280401,0.608612,0.67170835,-0.6015517,-0.34267214,1.0372255,-1.3269868,-0.33959928,-0.7250399,0.31904516,0.84563094,-0.31057233
231453,0.375,0.0,0.7386904,-0.53702784,-0.14788966,-0.8996988,0.81943345,1.253337,0.8987916,0.5964881,-0.087119594,0.1826494,0.1407385,-0.058104724,-0.15643279,-0.3696245,0.9799984,1.8546616,0.3373022
15138,0.1111111111111111,0.0045351473922902,0.13266538,-0.8164188,0.50121665,-0.22559042,-0.6913705,-0.044309817,-0.85662144,0.50744104,-0.67612416,-0.59881055,-0.5261126,0.4715288,0.14951356,-0.44331357,-0.18476759,-0.7146383,1.1506689
266938,0.1034482758620689,0.0008453085376162,0.22716422,-0.9038747,-0.7721128,-0.044421196,-0.31545058,0.033397805,0.096514076,-0.27393633,-0.09209555,-0.05864199,0.45647472,-0.1935908,0.45433566,-0.114633694,0.70518655,0.44428748,0.1311444
236696,0.6666666666666666,0.0110803324099723,-1.0176373,0.15724115,-1.280393,0.44030336,0.50140655,0.12470307,-0.22906218,-0.18851732,-0.45269537,-0.19568898,0.21094026,0.17375648,0.08365868,-0.27309012,0.62069,0.73148113,0.008760195
257277,0.1764705882352941,0.0,0.014710571,-0.19769658,0.09526684,-0.41953197,-0.13746017,0.03365184,-0.55224174,-0.19009809,-0.09416168,-0.22707665,0.17975572,0.18550298,0.18724015,0.4875948,-0.044419605,1.1101431,-0.26795542
228561,0.1818181818181818,0.0023629489603024,-0.14392759,-0.5107183,0.27533355,0.06599358,-0.99255395,-0.5159968,-0.5744365,0.06807935,0.17217098,0.45506153,-0.1417263,0.57939565,-0.13082366,0.62539583,0.49650875,0.45504048,0.17229365
190726,0.1578947368421052,0.0032873109796186,-0.8933241,-0.99664474,-0.40220273,0.48943868,-0.26237732,0.73291075,-0.43674737,-0.31852227,-1.230773,-0.8166223,0.3542181,0.02118851,-0.69884324,-0.18577176,0.4450764,0.60397243,-0.33192423
248400,0.1666666666666666,0.0,0.6132592,-0.14326423,-0.42931575,0.35499436,-0.050325476,-0.022321817,0.16379844,-0.107933156,-0.7257552,1.0675532,0.20297322,-0.257011,0.34985366,-0.9826522,-0.24493821,0.567679,-0.067841806
106077,0.25,0.003858024691358,-0.7887482,-0.30404052,-0.3034816,-0.3129437,0.629883,0.18826698,-0.85440385,-0.76988035,-0.9887457,-0.022115696,0.87041074,-0.3647509,-0.12102384,-0.2743217,0.6871651,-0.003203392,0.57427514
