,linking_rate,synonyms_rate,emb_axis_9,emb_axis_11,emb_axis_13,emb_axis_14,emb_axis_15,emb_axis_22,emb_axis_24,emb_axis_29,emb_axis_39,emb_axis_41,emb_axis_54,emb_axis_55,emb_axis_65,emb_axis_70,emb_axis_87,emb_axis_88,emb_axis_94
90008,0.2352941176470588,0.0,-0.6251201,0.3168781,-0.16720612,0.009601501,-0.12132844,0.9616501,-0.45715025,-0.8017555,-0.65859413,-0.1805723,0.93863004,-0.1251309,-1.1852527,-0.056995735,0.9203067,0.92973185,0.15668137
29920,0.1428571428571428,0.0,-0.9717324,-0.86755794,0.05430931,-0.45812634,0.41867656,0.5944521,-0.3580761,0.23849459,-0.8946543,-0.33428815,-0.046849243,-1.0208329,-0.56842786,-0.9029595,0.11008713,0.69768816,0.48504326
266396,0.0869565217391304,0.0004938271604938,0.21767922,-0.8613464,0.15741742,-0.42393947,-0.024897609,0.42042857,-0.031204699,-0.041548256,-0.23970161,-0.04553626,0.2852764,-0.19954835,-0.53059393,-0.28111404,0.8342339,0.33983165,-0.10440486
136647,0.1666666666666666,0.0,-1.2575774,-0.6894004,-0.11425518,-0.71526885,-0.2851875,0.1784603,-1.3806322,-0.27226073,-0.988955,-0.9429066,0.377209,-0.55766314,0.32101,-0.7671959,0.09634651,0.46682814,1.334112
110690,0.2142857142857142,0.0023795359904818,0.16529128,-0.19605544,0.12865953,-0.38830042,0.34240988,0.5623682,0.6823486,0.25033876,-0.6416459,0.209045,0.59178776,1.0217594,-0.22965689,0.27541542,-0.15481706,0.21221092,0.62972724
49029,0.2105263157894736,0.0,-0.3656107,-0.787962,-0.66365933,-0.46444583,-0.085657,-0.20699744,0.011102298,0.004931452,-0.2792612,0.266897,-0.14159563,-0.16008817,-0.43775934,-0.6033946,0.7667418,0.57415295,-0.19068876
53766,0.1875,0.0003395201448619,-0.29256997,-0.5745006,-0.14323309,-0.033357043,-0.11566887,0.48604065,-0.08299625,0.07082896,-0.12852249,0.09106784,-0.1139445,-0.28729492,-0.199013,-0.46186906,-0.23399241,0.6309031,0.18837917
89787,0.1666666666666666,0.0006611570247933,0.19890666,0.0431592,-0.83003616,-1.4091341,-0.14717846,0.040546067,-0.107436135,-0.8228168,-0.7819021,0.16429989,0.5066366,-0.39132637,0.112924315,-0.24742313,1.0785569,0.7800276,-0.3368842
107182,0.2222222222222222,0.0,0.25422052,-0.20990908,-0.4937225,-0.05849516,0.18696642,0.5798398,0.046069354,0.33537313,-0.99236155,-0.51860154,-0.1770374,-0.97975016,-0.09507645,-0.8457447,0.5359108,0.31571972,-0.36037642
7156,0.2222222222222222,0.0,0.2719872,-0.51931876,-0.47921544,-0.106676325,0.50306237,0.065765366,-0.3383015,0.48431852,-0.6695993,0.70709926,-0.14919004,1.132189,-0.28586534,-0.1991002,0.43813092,1.1719143,0.008131148
38019,0.125,0.0,-0.6384795,-0.65526426,-0.38933146,-0.085393205,0.8279411,0.50638515,-0.4834208,-0.31472942,-0.68460935,0.23774305,0.2122041,0.15894154,0.31225786,-0.14369111,0.71562797,1.1538693,-0.55724585
190740,0.2307692307692307,0.0025826446280991,-0.027462607,-0.18517704,-0.08889163,-0.72369176,0.08761996,0.50755596,-0.3937822,0.265135,-0.3292327,-0.27412423,-0.26286516,-0.28444344,-0.30699933,0.27503344,1.3141626,0.7925742,0.008560977
46663,0.1875,0.0013850415512465,0.111831926,-0.41840318,0.25977123,0.13331318,0.28432885,-0.0701453,-0.54219383,0.40993607,-0.79138654,-0.47087222,0.09845949,1.2808585,0.43165907,-0.57691,-0.7176334,-0.32267714,-0.4074104
247764,0.2857142857142857,0.0,0.1622912,0.704288,-0.6080396,-0.36580676,0.24493378,-0.15632841,0.10352276,-0.27599964,-0.39933452,-0.054429453,-0.35372424,0.018607946,-0.29344752,-0.23005636,0.34786364,1.0731386,-0.36871326
239235,0.1666666666666666,0.0011337868480725,-1.3016608,-0.020954259,-0.6075608,-0.42529324,0.0029657984,-0.44190022,-0.07149754,-0.08352881,-0.98939216,0.37825263,0.19200501,0.5850161,-0.19161582,0.1938712,0.24067408,0.79309756,0.041171577
